id,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15791958,709,France,Male,32,2,0,2,1,1,172097.95,0
3,15583076,663,Spain,Female,29,2,0,2,0,0,61290.99,0
6,15695872,589,Spain,Male,32,3,0,2,1,0,152567.75,0
7,15727299,716,France,Female,40,6,0,2,1,0,160979.66,0
8,15706021,769,France,Female,30,6,0,2,0,0,185599.74,0
9,15788068,767,France,Female,30,3,135067.07,1,0,1,64511.44,0
10,15805764,579,France,Male,35,9,0,2,1,0,170528.63,0
11,15612444,620,Spain,Male,60,5,0,1,1,1,176692.87,0
12,15711446,850,France,Female,30,6,0,2,1,0,187632.22,0
13,15650889,746,France,Female,56,2,0,1,1,0,148087.62,1
14,15726250,667,Germany,Male,31,8,153325.1,1,1,1,131919.48,0
15,15581871,746,France,Male,44,4,115465.98,1,1,0,93716.38,0
16,15682600,591,France,Female,42,6,0,3,0,0,10070.4,1
17,15677955,551,Spain,Female,47,0,0,1,1,0,170984.97,1
18,15774727,592,Spain,Male,40,7,0,2,1,0,161217.18,0
19,15778089,772,France,Male,44,7,0,2,1,0,80178.54,0
20,15701160,562,France,Male,35,3,128747.69,1,1,0,102628.98,0
21,15661626,637,Germany,Male,37,6,111369.79,1,1,1,163911.32,0
22,15631392,613,France,Male,40,10,0,2,1,0,108411.66,0
23,15736413,730,Spain,Female,39,9,0,2,1,0,53630.9,0
24,15573599,584,Spain,Female,26,6,0,1,1,0,52327.57,1
25,15684461,543,France,Female,49,7,0,1,1,0,173776.5,1
26,15814519,694,Spain,Female,30,5,0,2,1,1,143618.01,0
27,15793726,645,Germany,Female,35,6,106453.53,1,1,0,172749.4,0
29,15682918,718,France,Female,42,3,0,2,1,0,105898.79,1
30,15794868,719,France,Male,40,8,0,2,1,0,176680.16,0
31,15752588,726,France,Female,37,8,0,2,1,0,166850.57,0
33,15672598,613,Spain,Female,26,8,0,2,0,1,176913.42,0
34,15583576,587,Spain,Male,48,2,0,2,1,1,101168.3,0
37,15584518,508,Germany,Male,45,6,143350.41,1,1,1,51387.1,1
39,15785865,622,France,Male,41,3,0,2,1,1,44203.55,0
40,15781347,807,France,Female,33,5,0,2,1,0,76611.33,0
41,15581526,651,France,Male,30,2,0,2,1,0,95611.47,0
42,15692761,557,Germany,Male,41,1,125927.51,1,0,1,163530.51,0
43,15569222,644,France,Male,25,8,0,2,0,0,138780.89,0
44,15701280,683,France,Male,30,9,0,1,0,0,48606.71,0
45,15687828,743,France,Female,43,9,0,2,1,1,149536.15,0
46,15676521,682,Spain,Female,38,2,0,2,1,1,181490.42,0
47,15684953,554,Germany,Female,37,9,156773.78,1,1,1,8982.75,0
48,15684861,604,France,Female,40,7,0,2,1,0,152577.62,0
49,15671387,682,France,Male,38,5,0,2,1,1,173486.39,0
50,15571529,683,France,Female,54,5,0,1,1,0,129964.94,1
51,15628272,662,France,Male,41,2,0,1,0,1,100862.54,0
52,15771417,743,France,Male,39,2,144954.75,1,1,1,37341.17,1
53,15666856,741,Germany,Male,38,8,103522.75,2,1,0,73853.94,0
54,15649414,742,France,Female,28,7,0,1,0,0,176925.69,1
55,15681562,850,France,Female,58,5,0,1,1,0,162889.1,1
57,15784844,682,Germany,Male,42,3,79962.92,1,1,0,131043.2,0
58,15644788,641,Spain,Female,32,6,0,2,1,0,93332.64,0
59,15588019,565,Germany,Female,27,6,115730.71,1,1,0,127630.64,1
60,15775067,684,France,Male,44,9,0,2,0,0,141180.66,0
61,15693690,642,France,Female,39,10,0,1,1,0,171099.22,0
62,15730059,828,Spain,Male,40,8,118537.47,1,1,1,118862.08,0
63,15589210,554,France,Male,38,3,0,2,1,0,180962.32,0
64,15581700,565,France,Male,41,6,0,2,1,0,138700.75,0
65,15756475,577,France,Female,47,2,0,1,0,0,158736.07,1
66,15794566,607,France,Male,34,4,142015.76,1,1,1,159737.56,0
